Activity,Set #,Weight,Reps,Date,Volume,LLTB,Core,PDT,GHQC,Sum,DOW,Month,Break Time
Squat,5.0,60.0,10.0,2021-05-08,600.0,60.0,60.0,0.0,480.0,600.0,Saturday,5.0,90
Bench Press,1.0,45.0,10.0,2021-05-09,450.0,0.0,45.0,405.0,0.0,450.0,Sunday,5.0,30
Bench Press,2.0,55.0,8.0,2021-05-09,440.0,0.0,44.0,396.0,0.0,440.0,Sunday,5.0,90
Bench Press,3.0,65.0,10.0,2021-05-09,650.0,0.0,65.0,585.0,0.0,650.0,Sunday,5.0,150
Shoulder Press,1.0,40.0,10.0,2021-05-09,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,120
Shoulder Press,2.0,40.0,10.0,2021-05-09,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,60
Shoulder Press,3.0,40.0,10.0,2021-05-09,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,90
Shoulder Press,4.0,40.0,10.0,2021-05-09,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,90
Shoulder Press,5.0,40.0,10.0,2021-05-09,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,90
Barbell Row,1.0,50.0,10.0,2021-05-09,500.0,450.0,0.0,0.0,50.0,500.0,Sunday,5.0,180
Barbell Row,2.0,50.0,10.0,2021-05-09,500.0,450.0,0.0,0.0,50.0,500.0,Sunday,5.0,150
Barbell Row,3.0,50.0,10.0,2021-05-09,500.0,450.0,0.0,0.0,50.0,500.0,Sunday,5.0,150
Barbell Row,4.0,50.0,10.0,2021-05-09,500.0,450.0,0.0,0.0,50.0,500.0,Sunday,5.0,120
Barbell Row,5.0,50.0,10.0,2021-05-09,500.0,450.0,0.0,0.0,50.0,500.0,Sunday,5.0,120
Squat,1.0,80.0,5.0,2021-05-10,400.0,40.0,40.0,0.0,320.0,400.0,Monday,5.0,60
Squat,2.0,80.0,5.0,2021-05-10,400.0,40.0,40.0,0.0,320.0,400.0,Monday,5.0,150
Squat,3.0,90.0,5.0,2021-05-10,450.0,45.0,45.0,0.0,360.0,450.0,Monday,5.0,180
Squat,4.0,100.0,5.0,2021-05-10,500.0,50.0,50.0,0.0,400.0,500.0,Monday,5.0,60
Squat,5.0,110.0,5.0,2021-05-10,550.0,55.0,55.0,0.0,440.0,550.0,Monday,5.0,180
Deadlift,1.0,80.0,10.0,2021-05-10,800.0,240.0,80.0,0.0,480.0,800.0,Monday,5.0,60
Deadlift,2.0,80.0,10.0,2021-05-10,800.0,240.0,80.0,0.0,480.0,800.0,Monday,5.0,60
Deadlift,3.0,80.0,10.0,2021-05-10,800.0,240.0,80.0,0.0,480.0,800.0,Monday,5.0,90
Deadlift,4.0,80.0,10.0,2021-05-10,800.0,240.0,80.0,0.0,480.0,800.0,Monday,5.0,120
Deadlift,5.0,80.0,10.0,2021-05-10,800.0,240.0,80.0,0.0,480.0,800.0,Monday,5.0,60
Shoulder Press,1.0,35.0,10.0,2021-05-11,350.0,35.0,0.0,315.0,0.0,350.0,Tuesday,5.0,60
Shoulder Press,2.0,45.0,8.0,2021-05-11,360.0,36.0,0.0,324.0,0.0,360.0,Tuesday,5.0,120
Shoulder Press,3.0,55.0,6.0,2021-05-11,330.0,33.0,0.0,297.0,0.0,330.0,Tuesday,5.0,150
Shoulder Press,4.0,65.0,10.0,2021-05-11,650.0,65.0,0.0,585.0,0.0,650.0,Tuesday,5.0,90
Shoulder Press,5.0,75.0,4.0,2021-05-11,300.0,30.0,0.0,270.0,0.0,300.0,Tuesday,5.0,90
Bench Press,1.0,80.0,10.0,2021-05-11,800.0,0.0,80.0,720.0,0.0,800.0,Tuesday,5.0,90
Bench Press,2.0,80.0,10.0,2021-05-11,800.0,0.0,80.0,720.0,0.0,800.0,Tuesday,5.0,150
Bench Press,3.0,80.0,10.0,2021-05-11,800.0,0.0,80.0,720.0,0.0,800.0,Tuesday,5.0,120
Bench Press,4.0,80.0,10.0,2021-05-11,800.0,0.0,80.0,720.0,0.0,800.0,Tuesday,5.0,120
Bench Press,5.0,80.0,10.0,2021-05-11,800.0,0.0,80.0,720.0,0.0,800.0,Tuesday,5.0,120
Barbell Row,1.0,90.0,10.0,2021-05-11,900.0,810.0,0.0,0.0,90.0,900.0,Tuesday,5.0,90
Barbell Row,2.0,90.0,10.0,2021-05-11,900.0,810.0,0.0,0.0,90.0,900.0,Tuesday,5.0,150
Barbell Row,3.0,90.0,10.0,2021-05-11,900.0,810.0,0.0,0.0,90.0,900.0,Tuesday,5.0,120
Barbell Row,4.0,90.0,10.0,2021-05-11,900.0,810.0,0.0,0.0,90.0,900.0,Tuesday,5.0,150
Barbell Row,5.0,90.0,10.0,2021-05-11,900.0,810.0,0.0,0.0,90.0,900.0,Tuesday,5.0,120
Bicep Curl,1.0,50.0,5.0,2021-05-11,250.0,250.0,0.0,0.0,0.0,250.0,Tuesday,5.0,120
Bicep Curl,2.0,50.0,5.0,2021-05-11,250.0,250.0,0.0,0.0,0.0,250.0,Tuesday,5.0,120
Bicep Curl,3.0,40.0,10.0,2021-05-11,400.0,400.0,0.0,0.0,0.0,400.0,Tuesday,5.0,90
Bicep Curl,4.0,40.0,8.0,2021-05-11,320.0,320.0,0.0,0.0,0.0,320.0,Tuesday,5.0,90
Bicep Curl,5.0,40.0,6.0,2021-05-11,240.0,240.0,0.0,0.0,0.0,240.0,Tuesday,5.0,90
Tricep Extension,1.0,25.0,8.0,2021-05-11,200.0,0.0,0.0,200.0,0.0,200.0,Tuesday,5.0,180
Tricep Extension,2.0,25.0,10.0,2021-05-11,250.0,0.0,0.0,250.0,0.0,250.0,Tuesday,5.0,90
Tricep Extension,3.0,25.0,10.0,2021-05-11,250.0,0.0,0.0,250.0,0.0,250.0,Tuesday,5.0,60
Tricep Extension,4.0,25.0,7.0,2021-05-11,175.0,0.0,0.0,175.0,0.0,175.0,Tuesday,5.0,120
Tricep Extension,5.0,25.0,6.0,2021-05-11,150.0,0.0,0.0,150.0,0.0,150.0,Tuesday,5.0,120
Bench Press,1.0,60.0,10.0,2021-05-12,600.0,0.0,60.0,540.0,0.0,600.0,Wednesday,5.0,120
Bench Press,2.0,70.0,8.0,2021-05-12,560.0,0.0,56.0,504.0,0.0,560.0,Wednesday,5.0,150
Bench Press,3.0,80.0,10.0,2021-05-12,800.0,0.0,80.0,720.0,0.0,800.0,Wednesday,5.0,150
Bench Press,4.0,70.0,8.0,2021-05-12,560.0,0.0,56.0,504.0,0.0,560.0,Wednesday,5.0,180
Bench Press,5.0,60.0,10.0,2021-05-12,600.0,0.0,60.0,540.0,0.0,600.0,Wednesday,5.0,180
Shoulder Press,1.0,50.0,10.0,2021-05-12,500.0,50.0,0.0,450.0,0.0,500.0,Wednesday,5.0,120
Shoulder Press,2.0,50.0,10.0,2021-05-12,500.0,50.0,0.0,450.0,0.0,500.0,Wednesday,5.0,90
Shoulder Press,3.0,50.0,10.0,2021-05-12,500.0,50.0,0.0,450.0,0.0,500.0,Wednesday,5.0,30
Shoulder Press,4.0,50.0,10.0,2021-05-12,500.0,50.0,0.0,450.0,0.0,500.0,Wednesday,5.0,180
Shoulder Press,5.0,50.0,10.0,2021-05-12,500.0,50.0,0.0,450.0,0.0,500.0,Wednesday,5.0,120
Barbell Row,1.0,80.0,10.0,2021-05-12,800.0,720.0,0.0,0.0,80.0,800.0,Wednesday,5.0,60
Barbell Row,2.0,80.0,10.0,2021-05-12,800.0,720.0,0.0,0.0,80.0,800.0,Wednesday,5.0,90
Barbell Row,3.0,80.0,10.0,2021-05-12,800.0,720.0,0.0,0.0,80.0,800.0,Wednesday,5.0,90
Barbell Row,4.0,80.0,10.0,2021-05-12,800.0,720.0,0.0,0.0,80.0,800.0,Wednesday,5.0,30
Barbell Row,5.0,80.0,10.0,2021-05-12,800.0,720.0,0.0,0.0,80.0,800.0,Wednesday,5.0,150
Bench Press,1.0,45.0,5.0,2021-05-13,225.0,0.0,22.5,202.5,0.0,225.0,Thursday,5.0,120
Bench Press,2.0,50.0,5.0,2021-05-13,250.0,0.0,25.0,225.0,0.0,250.0,Thursday,5.0,150
Bench Press,3.0,55.0,5.0,2021-05-13,275.0,0.0,27.5,247.5,0.0,275.0,Thursday,5.0,180
Bench Press,4.0,60.0,5.0,2021-05-13,300.0,0.0,30.0,270.0,0.0,300.0,Thursday,5.0,90
Bench Press,5.0,65.0,5.0,2021-05-13,325.0,0.0,32.5,292.5,0.0,325.0,Thursday,5.0,90
Bench Press,6.0,70.0,5.0,2021-05-13,350.0,0.0,35.0,315.0,0.0,350.0,Thursday,5.0,120
Bench Press,7.0,75.0,5.0,2021-05-13,375.0,0.0,37.5,337.5,0.0,375.0,Thursday,5.0,120
Bench Press,8.0,80.0,5.0,2021-05-13,400.0,0.0,40.0,360.0,0.0,400.0,Thursday,5.0,90
Bench Press,9.0,85.0,5.0,2021-05-13,425.0,0.0,42.5,382.5,0.0,425.0,Thursday,5.0,30
Bench Press,10.0,90.0,5.0,2021-05-13,450.0,0.0,45.0,405.0,0.0,450.0,Thursday,5.0,120
Bench Press,11.0,95.0,4.0,2021-05-13,380.0,0.0,38.0,342.0,0.0,380.0,Thursday,5.0,150
Bench Press,12.0,95.0,5.0,2021-05-13,475.0,0.0,47.5,427.5,0.0,475.0,Thursday,5.0,150
Shoulder Press,1.0,25.0,10.0,2021-05-13,250.0,25.0,0.0,225.0,0.0,250.0,Thursday,5.0,120
Shoulder Press,2.0,35.0,10.0,2021-05-13,350.0,35.0,0.0,315.0,0.0,350.0,Thursday,5.0,90
Shoulder Press,3.0,40.0,10.0,2021-05-13,400.0,40.0,0.0,360.0,0.0,400.0,Thursday,5.0,120
Shoulder Press,4.0,40.0,10.0,2021-05-13,400.0,40.0,0.0,360.0,0.0,400.0,Thursday,5.0,60
Shoulder Press,5.0,40.0,10.0,2021-05-13,400.0,40.0,0.0,360.0,0.0,400.0,Thursday,5.0,120
Single Leg Romanian Deadlift,1.0,27.5,10.0,2021-05-13,275.0,0.0,27.5,0.0,247.5,275.0,Thursday,5.0,90
Single Leg Romanian Deadlift,2.0,27.5,10.0,2021-05-13,275.0,0.0,27.5,0.0,247.5,275.0,Thursday,5.0,60
Single Leg Romanian Deadlift,3.0,27.5,10.0,2021-05-13,275.0,0.0,27.5,0.0,247.5,275.0,Thursday,5.0,150
Single Leg Romanian Deadlift,4.0,27.5,10.0,2021-05-13,275.0,0.0,27.5,0.0,247.5,275.0,Thursday,5.0,60
Single Leg Romanian Deadlift,5.0,35.0,10.0,2021-05-13,350.0,0.0,35.0,0.0,315.0,350.0,Thursday,5.0,150
Single Leg Romanian Deadlift,6.0,35.0,17.0,2021-05-13,595.0,0.0,59.5,0.0,535.5,595.0,Thursday,5.0,120
Squat,1.0,65.0,10.0,2021-05-13,650.0,65.0,65.0,0.0,520.0,650.0,Thursday,5.0,90
Squat,2.0,75.0,10.0,2021-05-13,750.0,75.0,75.0,0.0,600.0,750.0,Thursday,5.0,90
Squat,3.0,75.0,10.0,2021-05-13,750.0,75.0,75.0,0.0,600.0,750.0,Thursday,5.0,90
Deadlift,1.0,65.0,10.0,2021-05-13,650.0,195.0,65.0,0.0,390.0,650.0,Thursday,5.0,90
Deadlift,2.0,75.0,10.0,2021-05-13,750.0,225.0,75.0,0.0,450.0,750.0,Thursday,5.0,30
Deadlift,3.0,85.0,8.0,2021-05-13,680.0,204.0,68.0,0.0,408.0,680.0,Thursday,5.0,90
Shoulder Press,1.0,20.0,10.0,2021-05-14,200.0,20.0,0.0,180.0,0.0,200.0,Friday,5.0,120
Shoulder Press,2.0,25.0,8.0,2021-05-14,200.0,20.0,0.0,180.0,0.0,200.0,Friday,5.0,150
Shoulder Press,3.0,30.0,6.0,2021-05-14,180.0,18.0,0.0,162.0,0.0,180.0,Friday,5.0,150
Bench Press,1.0,40.0,10.0,2021-05-14,400.0,0.0,40.0,360.0,0.0,400.0,Friday,5.0,90
Bench Press,2.0,40.0,10.0,2021-05-14,400.0,0.0,40.0,360.0,0.0,400.0,Friday,5.0,120
Bench Press,3.0,40.0,10.0,2021-05-14,400.0,0.0,40.0,360.0,0.0,400.0,Friday,5.0,90
Bench Press,4.0,40.0,10.0,2021-05-14,400.0,0.0,40.0,360.0,0.0,400.0,Friday,5.0,150
Bench Press,5.0,40.0,10.0,2021-05-14,400.0,0.0,40.0,360.0,0.0,400.0,Friday,5.0,120
Barbell Row,1.0,25.0,10.0,2021-05-14,250.0,225.0,0.0,0.0,25.0,250.0,Friday,5.0,120
Barbell Row,2.0,25.0,10.0,2021-05-14,250.0,225.0,0.0,0.0,25.0,250.0,Friday,5.0,180
Barbell Row,3.0,25.0,10.0,2021-05-14,250.0,225.0,0.0,0.0,25.0,250.0,Friday,5.0,90
Barbell Row,4.0,25.0,10.0,2021-05-14,250.0,225.0,0.0,0.0,25.0,250.0,Friday,5.0,120
Barbell Row,5.0,25.0,10.0,2021-05-14,250.0,225.0,0.0,0.0,25.0,250.0,Friday,5.0,120
Deadlift,1.0,40.0,10.0,2021-05-15,400.0,120.0,40.0,0.0,240.0,400.0,Saturday,5.0,60
Deadlift,2.0,50.0,8.0,2021-05-15,400.0,120.0,40.0,0.0,240.0,400.0,Saturday,5.0,120
Deadlift,3.0,60.0,6.0,2021-05-15,360.0,108.0,36.0,0.0,216.0,360.0,Saturday,5.0,120
Squat,1.0,45.0,10.0,2021-05-15,450.0,45.0,45.0,0.0,360.0,450.0,Saturday,5.0,60
Squat,2.0,45.0,10.0,2021-05-15,450.0,45.0,45.0,0.0,360.0,450.0,Saturday,5.0,120
Squat,3.0,45.0,10.0,2021-05-15,450.0,45.0,45.0,0.0,360.0,450.0,Saturday,5.0,60
Squat,4.0,45.0,10.0,2021-05-15,450.0,45.0,45.0,0.0,360.0,450.0,Saturday,5.0,90
Squat,5.0,45.0,10.0,2021-05-15,450.0,45.0,45.0,0.0,360.0,450.0,Saturday,5.0,120
Bench Press,1.0,50.0,10.0,2021-05-16,500.0,0.0,50.0,450.0,0.0,500.0,Sunday,5.0,180
Bench Press,2.0,60.0,8.0,2021-05-16,480.0,0.0,48.0,432.0,0.0,480.0,Sunday,5.0,90
Bench Press,3.0,75.0,6.0,2021-05-16,450.0,0.0,45.0,405.0,0.0,450.0,Sunday,5.0,120
Shoulder Press,1.0,40.0,10.0,2021-05-16,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,60
Shoulder Press,2.0,40.0,10.0,2021-05-16,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,120
Shoulder Press,3.0,40.0,10.0,2021-05-16,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,180
Shoulder Press,4.0,40.0,10.0,2021-05-16,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,90
Shoulder Press,5.0,40.0,10.0,2021-05-16,400.0,40.0,0.0,360.0,0.0,400.0,Sunday,5.0,30
Barbell Row,1.0,70.0,10.0,2021-05-16,700.0,630.0,0.0,0.0,70.0,700.0,Sunday,5.0,90
Barbell Row,2.0,70.0,10.0,2021-05-16,700.0,630.0,0.0,0.0,70.0,700.0,Sunday,5.0,120
Barbell Row,3.0,70.0,10.0,2021-05-16,700.0,630.0,0.0,0.0,70.0,700.0,Sunday,5.0,150
Barbell Row,4.0,70.0,10.0,2021-05-16,700.0,630.0,0.0,0.0,70.0,700.0,Sunday,5.0,90
Barbell Row,5.0,70.0,10.0,2021-05-16,700.0,630.0,0.0,0.0,70.0,700.0,Sunday,5.0,120
